행정구역,총인구수,연령구간인구수,2022년04월_계_0~9세,2022년04월_계_10~19세,2022년04월_계_20~29세,2022년04월_계_30~39세,2022년04월_계_40~49세,2022년04월_계_50~59세,2022년04월_계_60~69세,2022년04월_계_70~79세,2022년04월_계_80~89세,2022년04월_계_90~99세,2022년04월_계_100세 이상,2022년04월_남_총인구수,2022년04월_남_연령구간인구수,2022년04월_남_0~9세,2022년04월_남_10~19세,2022년04월_남_20~29세,2022년04월_남_30~39세,2022년04월_남_40~49세,2022년04월_남_50~59세,2022년04월_남_60~69세,2022년04월_남_70~79세,2022년04월_남_80~89세,2022년04월_남_90~99세,2022년04월_남_100세 이상,2022년04월_여_총인구수,2022년04월_여_연령구간인구수,2022년04월_여_0~9세,2022년04월_여_10~19세,2022년04월_여_20~29세,2022년04월_여_30~39세,2022년04월_여_40~49세,2022년04월_여_50~59세,2022년04월_여_60~69세,2022년04월_여_70~79세,2022년04월_여_80~89세,2022년04월_여_90~99세,2022년04월_여_100세 이상
서울특별시 광진구 중곡제4동(1121577000),28404,28404,1215,1794,4241,4130,3913,5183,4613,2322,891,95,7,13904,13904,640,954,2118,2118,1975,2456,2183,1087,348,22,3,14500,14500,575,840,2123,2012,1938,2727,2430,1235,543,73,4
서울특별시 광진구 능동(1121578000),11263,11263,491,507,2340,2481,1616,1451,1304,699,332,39,3,5192,5192,261,256,1000,1143,816,668,587,313,133,15,0,6071,6071,230,251,1340,1338,800,783,717,386,199,24,3
서울특별시 광진구 광장동(1121581000),34485,34485,2864,5393,3949,3500,7224,5826,3265,1449,860,147,8,16699,16699,1476,2769,1967,1537,3289,2957,1621,681,355,45,2,17786,17786,1388,2624,1982,1963,3935,2869,1644,768,505,102,6
서울특별시 광진구 자양제1동(1121582000),22170,22170,859,1441,4117,3763,3263,3500,2925,1527,687,87,1,10771,10771,440,764,1971,1935,1620,1726,1359,657,273,26,0,11399,11399,419,677,2146,1828,1643,1774,1566,870,414,61,1
서울특별시 광진구 자양제2동(1121583000),24340,24340,1406,1769,3546,3640,3800,4021,3736,1678,649,92,3,11791,11791,702,935,1748,1810,1864,1879,1790,776,263,23,1,12549,12549,704,834,1798,1830,1936,2142,1946,902,386,69,2
서울특별시 광진구 자양제3동(1121584000),27902,27902,2154,2501,3706,3986,4400,4721,3721,1649,907,153,4,13339,13339,1094,1203,1864,1854,2084,2246,1832,757,354,49,2,14563,14563,1060,1298,1842,2132,2316,2475,1889,892,553,104,2
서울특별시 광진구 자양제4동(1121584700),17992,17992,663,821,2934,2838,2367,2968,3064,1602,658,75,2,8965,8965,345,402,1433,1524,1233,1547,1481,726,255,18,1,9027,9027,318,419,1501,1314,1134,1421,1583,876,403,57,1
서울특별시 광진구 구의제1동(1121585000),23006,23006,911,1200,4913,4523,3279,3361,2696,1422,619,77,5,10949,10949,453,584,2216,2264,1640,1625,1261,646,240,20,0,12057,12057,458,616,2697,2259,1639,1736,1435,776,379,57,5
서울특별시 광진구 구의제2동(1121586000),26361,26361,1620,2225,3566,3705,4228,4553,3619,1930,813,96,6,12699,12699,835,1135,1748,1858,2056,2193,1657,878,316,23,0,13662,13662,785,1090,1818,1847,2172,2360,1962,1052,497,73,6
서울특별시 광진구 구의제3동(1121587000),28515,28515,1726,2431,4421,4461,4350,4785,3692,1723,802,120,4,13477,13477,871,1187,2045,2172,1994,2286,1771,805,304,40,2,15038,15038,855,1244,2376,2289,2356,2499,1921,918,498,80,2
서울특별시 동대문구 (1123000000),337570,337570,19187,22995,56546,48692,48818,52105,47637,27441,12571,1512,66,166554,166554,9832,11603,27534,25080,25174,26399,23146,12356,5012,400,18,171016,171016,9355,11392,29012,23612,23644,25706,24491,15085,7559,1112,48
서울특별시 동대문구 용신동(1123053600),32589,32589,1380,1448,6444,5947,4400,4672,4466,2463,1225,138,6,16299,16299,698,740,2895,3063,2376,2522,2321,1131,511,40,2,16290,16290,682,708,3549,2884,2024,2150,2145,1332,714,98,4
서울특별시 동대문구 제기동(1123054500),24557,24557,918,1379,4550,3145,2909,3772,3930,2549,1250,145,10,12586,12586,471,718,2442,1735,1600,2000,1921,1152,504,40,3,11971,11971,447,661,2108,1410,1309,1772,2009,1397,746,105,7
서울특별시 동대문구 전농제1동(1123056000),29009,29009,1688,1844,4461,3988,4133,4819,4314,2455,1168,133,6,14536,14536,868,918,2277,2030,2198,2482,2181,1093,462,27,0,14473,14473,820,926,2184,1958,1935,2337,2133,1362,706,106,6
서울특별시 동대문구 전농제2동(1123057000),18381,18381,1107,1649,2130,2139,2884,3196,2815,1568,801,90,2,8838,8838,561,805,1090,1093,1395,1557,1287,676,341,32,1,9543,9543,546,844,1040,1046,1489,1639,1528,892,460,58,1
서울특별시 동대문구 답십리제1동(1123060000),28874,28874,2605,1967,4084,5056,4782,4214,3456,1765,828,108,9,13887,13887,1322,995,1830,2377,2469,2061,1709,785,310,28,1,14987,14987,1283,972,2254,2679,2313,2153,1747,980,518,80,8
서울특별시 동대문구 답십리제2동(1123061000),28060,28060,1757,1823,3423,4268,4029,4734,4349,2429,1123,123,2,13626,13626,873,898,1725,2183,2034,2329,2038,1084,435,26,1,14434,14434,884,925,1698,2085,1995,2405,2311,1345,688,97,1
서울특별시 동대문구 장안제1동(1123065000),38180,38180,2324,2562,5229,6149,6229,5932,5602,2932,1082,132,7,18889,18889,1223,1301,2442,3143,3225,2964,2696,1420,437,37,1,19291,19291,1101,1261,2787,3006,3004,2968,2906,1512,645,95,6
서울특별시 동대문구 장안제2동(1123066000),32450,32450,2679,2764,3765,4842,5694,4967,4439,2334,839,116,11,16157,16157,1392,1494,1896,2418,2904,2482,2123,1099,320,25,4,16293,16293,1287,1270,1869,2424,2790,2485,2316,1235,519,91,7
서울특별시 동대문구 청량리동(1123070500),18724,18724,684,1019,2146,2052,2298,3192,3809,2301,1076,145,2,9338,9338,347,541,1137,1131,1201,1621,1880,1027,414,39,0,9386,9386,337,478,1009,921,1097,1571,1929,1274,662,106,2
서울특별시 동대문구 회기동(1123071000),10595,10595,384,691,3462,1484,1259,1208,1004,650,400,51,2,5074,5074,194,324,1620,803,628,612,464,269,146,12,2,5521,5521,190,367,1842,681,631,596,540,381,254,39,0
서울특별시 동대문구 휘경제1동(1123072000),13977,13977,794,793,3643,2184,1691,1906,1530,943,434,57,2,6621,6621,394,370,1539,1135,880,926,764,409,190,14,0,7356,7356,400,423,2104,1049,811,980,766,534,244,43,2
서울특별시 동대문구 휘경제2동(1123073000),24152,24152,1102,2092,5484,2875,3349,3544,3001,1823,781,99,2,12081,12081,580,1022,2905,1551,1661,1798,1412,816,302,34,0,12071,12071,522,1070,2579,1324,1688,1746,1589,1007,479,65,2
서울특별시 동대문구 이문제1동(1123074000),18137,18137,628,1271,4956,2145,2192,2578,2126,1390,764,84,3,9028,9028,326,623,2433,1213,1125,1340,1031,594,316,26,1,9109,9109,302,648,2523,932,1067,1238,1095,796,448,58,2
서울특별시 동대문구 이문제2동(1123075000),19885,19885,1137,1693,2769,2418,2969,3371,2796,1839,800,91,2,9594,9594,583,854,1303,1205,1478,1705,1319,801,324,20,2,10291,10291,554,839,1466,1213,1491,1666,1477,1038,476,71,0
서울특별시 중랑구 (1126000000),388941,388941,21232,25258,54129,57722,55758,67106,61236,31542,13264,1628,66,191741,191741,10909,12839,26458,29694,28881,33214,29687,14397,5268,374,20,197200,197200,10323,12419,27671,28028,26877,33892,31549,17145,7996,1254,46
